"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"autopsy.log.0-slack"	".0-slack"	"r"	"yes"	"2025-12-02 23:55:33 IST"	"2025-12-02 23:53:00 IST"	"2025-12-03 00:05:45 IST"	"3577"	"55"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/autopsy.log.0-slack"
"compromise_system_20251202_235300.properties"	".properties"	"r"	"yes"	"2025-12-02 23:53:05 IST"	"2025-12-02 23:53:05 IST"	"2025-12-03 00:05:45 IST"	"34"	"68"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/ModuleOutput/compromise_system_20251202_235300.properties"
"drawable.db"	".db"	"r"	"yes"	"2025-12-02 23:53:05 IST"	"2025-12-02 23:53:05 IST"	"2025-12-03 00:05:45 IST"	"65536"	"69"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/ModuleOutput/drawable.db"
"segments_1"	""	"r"	"yes"	"2025-12-02 23:53:04 IST"	"2025-12-02 23:53:04 IST"	"2025-12-03 00:05:45 IST"	"69"	"65"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/ModuleOutput/keywordsearch/data/solr8_schema2.3/segments_1"
"write.lock"	".lock"	"r"	"yes"	"2025-12-02 23:53:04 IST"	"2025-12-02 23:53:04 IST"	"2025-12-03 00:05:45 IST"	"0"	"64"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/ModuleOutput/keywordsearch/data/solr8_schema2.3/write.lock"
"autopsy.db"	".db"	"r"	"yes"	"2025-12-03 00:03:34 IST"	"2025-12-02 23:53:00 IST"	"2025-12-03 00:05:45 IST"	"495616"	"57"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/autopsy.db"
"autopsy.db-journal"	".db-journal"	"r"	"yes"	"2025-12-02 23:53:06 IST"	"2025-12-02 23:53:06 IST"	"2025-12-03 00:05:45 IST"	"16928"	"70"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/autopsy.db-journal"
"autopsy.db-journal-slack"	".db-journal-slack"	"r"	"yes"	"2025-12-02 23:53:06 IST"	"2025-12-02 23:53:06 IST"	"2025-12-03 00:05:45 IST"	"19964"	"70"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/autopsy.db-journal-slack"
"compromise system.aut"	".aut"	"r"	"yes"	"2025-12-03 00:03:34 IST"	"2025-12-02 23:53:00 IST"	"2025-12-03 00:05:45 IST"	"858"	"56"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/compromise system.aut"
"compromise system.aut-slack"	".aut-slack"	"r"	"yes"	"2025-12-03 00:03:34 IST"	"2025-12-02 23:53:00 IST"	"2025-12-03 00:05:45 IST"	"3238"	"56"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/compromise system.aut-slack"
"SolrCore.properties"	".properties"	"r"	"yes"	"2025-12-02 23:53:03 IST"	"2025-12-02 23:53:03 IST"	"2025-12-03 00:05:45 IST"	"344"	"58"	"null"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/Forensic_USB/compromise system/SolrCore.properties"
"f0000000.xml"	".xml"	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"834"	"0"	"e4f7c28c0f504774c3f943932113a9c3"	"unknown"	"r---------"	"/img_compromise system.E01/vol_vol2/$CarvedFiles/1/f0000000.xml"

